Jersey,Player,Yr,Pos,GP,GS,GS,PO,A,E,FldPct,CI,PB,SBA,CSB,TC,IDP,ITP
1,"Chimento, Jordan",Sr,C,53,53,53,262,55,9,0.972,,4,18,8,326,2,
9,"Cook, CC",Fr,SP,48,46,46,15,4,3,0.864,,,,,22,,
2,"DiEmmanuele, Lexi",Jr,OF,53,53,53,55,4,6,0.908,,,,,65,,
25,"Dreswick, Jessica",Sr,SP/RP,44,32,32,7,32,3,0.929,,,15,7,42,1,
38,"Frei, Allyson",Jr,SP/RP,35,21,21,2,21,1,0.958,,,25,8,24,,
6,"Markopoulos, Olivia",So,2B,42,40,40,59,53,7,0.941,,,,,119,,
44,"Martinez, Emme",Fr,C,39,38,38,85,57,3,0.979,,,11,6,145,2,
13,"Moore, Allyson",Jr,C,48,34,34,76,1,3,0.963,,2,11,1,80,,
3,"Murphy, Annie",Sr,OF,53,53,53,75,2,1,0.987,,,,,78,,
10,"Randazza, Gianna",Fr,1B,15,6,6,2,,,1.000,,,,,2,,
24,"Sellers, Cami",Fr,INF,52,52,52,300,25,9,0.973,,,,,334,6,
33,"Severini, Carly",Jr,SS,53,49,49,36,60,6,0.941,,,,,102,2,
4,"Sharabba, Chloe",Sr,2B,53,53,53,117,71,10,0.949,,,,,198,1,
