Jersey,Player,Yr,Pos,GP,GS,GS,G,BA,OBPct,SlgPct,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,WOBA
17,"Belinskas, Delaney",So,UT,18,0,,,0.000,0.000,0.000,1,1,0,,,0,,,,,0,,,1,1,,,,,,,,,0.000
1,"Chimento, Jordan",Sr,C,53,53,,,0.217,0.419,0.261,23,4,5,1,,6,,,6,2,3,,1,6,,,,,,,,7,5,0.366
9,"Cook, CC",Fr,SP,48,46,,,0.160,0.250,0.240,25,2,4,,1,6,,,2,1,2,,2,10,1,,,,,,,9,4,0.247
2,"DiEmmanuele, Lexi",Jr,OF,53,53,,,0.226,0.265,0.355,31,6,7,,2,11,,,2,,5,1,1,3,,,,,5,2,,12,8,0.295
6,"Markopoulos, Olivia",So,2B,42,40,,,0.071,0.188,0.143,14,1,1,1,,2,,,1,1,0,,2,6,,,,,1,,,6,3,0.173
44,"Martinez, Emme",Fr,C,39,38,,,0.450,0.520,0.550,20,2,9,2,,11,,,4,,5,1,,3,,,,,,,,4,5,0.530
13,"Moore, Allyson",Jr,C,48,34,,,0.050,0.208,0.050,20,2,1,,,1,,,4,,1,,,3,,,,,,,,7,7,0.155
3,"Murphy, Annie",Sr,OF,53,53,,,0.429,0.444,0.543,35,4,15,4,,19,,,1,,2,,,2,,,,,,,,9,8,0.477
10,"Randazza, Gianna",Fr,1B,15,6,,,0.000,0.000,0.000,2,1,0,,,0,,,,,0,,2,1,,,,,,,,3,,0.000
24,"Sellers, Cami",Fr,INF,52,52,,,0.138,0.194,0.241,29,2,4,,,7,1,,2,,6,,2,6,1,,,,1,,,12,7,0.210
33,"Severini, Carly",Jr,SS,53,49,,,0.200,0.273,0.300,30,6,6,,,9,1,,3,,2,,,4,1,,,,1,,,9,8,0.282
4,"Sharabba, Chloe",Sr,2B,53,53,,,0.286,0.364,0.393,28,7,8,1,1,11,,,4,,3,1,,1,1,,,,1,1,,8,10,0.374
