Jersey,Player,Yr,Pos,GP,GS,GS,G,BA,OBPct,SlgPct,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,WOBA
17,"Belinskas, Delaney",So,UT,18,0,,,,,,0,6,0,,,0,,,,,0,,,,,,,,2,,,,
1,"Chimento, Jordan",Sr,C,53,53,,,0.180,0.371,0.220,100,19,18,1,,22,1,,12,19,12,1,7,27,7,1,,,1,1,,27,34,0.321
9,"Cook, CC",Fr,SP,48,46,,,0.316,0.383,0.430,114,23,36,5,1,49,2,,9,4,23,1,1,29,4,3,2,,2,,,30,18,0.399
2,"DiEmmanuele, Lexi",Jr,OF,53,53,,,0.260,0.308,0.315,146,30,38,2,3,46,,,10,,10,,6,21,8,,,,22,4,,58,28,0.310
6,"Markopoulos, Olivia",So,2B,42,40,,,0.138,0.286,0.138,58,10,8,,,8,,,11,1,1,,5,28,8,,,,1,1,,21,3,0.237
44,"Martinez, Emme",Fr,C,39,38,,,0.268,0.324,0.423,97,7,26,6,,41,3,,8,2,19,4,2,6,3,4,3,,,,,31,33,0.357
13,"Moore, Allyson",Jr,C,48,34,,,0.198,0.237,0.231,91,3,18,3,,21,,,3,2,9,1,1,12,,,,,,,,33,27,0.235
3,"Murphy, Annie",Sr,OF,53,53,,,0.343,0.430,0.445,137,24,47,7,2,61,1,,19,2,28,,,7,3,1,1,,8,3,,48,28,0.435
10,"Randazza, Gianna",Fr,1B,15,6,,,0.115,0.250,0.154,26,4,3,1,,4,,,4,1,1,1,2,13,7,,,,1,,,6,6,0.218
24,"Sellers, Cami",Fr,INF,52,52,,,0.237,0.343,0.381,118,16,28,5,,45,4,,17,2,16,,4,26,5,1,,,1,1,,30,37,0.356
33,"Severini, Carly",Jr,SS,53,49,,,0.238,0.307,0.328,122,16,29,4,2,40,1,,14,,18,4,1,19,3,1,1,,1,,,43,31,0.314
4,"Sharabba, Chloe",Sr,2B,53,53,,,0.341,0.452,0.565,138,31,47,11,1,78,6,,26,3,19,1,2,8,5,2,2,,11,1,,39,43,0.490
