Jersey,Player,Yr,Pos,GP,GS,GS,PO,A,E,FldPct,CI,PB,SBA,CSB,TC,IDP,ITP
34,"Abboud, Rachel",Fr,UT,56,56,56,456,10,12,0.975,,,,,478,9,
27,"Butler, Brianna",Fr,UT,28,15,15,18,7,2,0.926,,,4,,27,,
31,"Dry, Kortney",Fr,INF,31,23,23,37,28,8,0.890,,,,,73,1,
1,"Ferraro, Jill",Sr,C,35,30,30,19,2,3,0.875,,,,,24,,
7,"Huey, Katherine",Fr,SP/RP,41,35,35,5,19,,1.000,,,14,3,24,1,
2,"Kavel, Jameson",Fr,INF,56,56,56,80,168,16,0.939,,,,,264,6,
17,"Lutterloh, Makenna",Fr,OF,20,2,2,1,,,1.000,,,,,1,,
4,"Metzger, Reilly",Jr,UT,38,32,32,40,48,9,0.907,,,,,97,,
30,"Moreno, Jazmine",Fr,UT,56,56,56,264,31,4,0.987,1,6,44,8,299,1,
12,"Pridemore, Hannah",Fr,C,31,12,12,34,,,1.000,,1,2,,34,,
13,"Rodriguez, Ashleigh",Fr,UT,52,41,41,48,52,5,0.952,,,,,105,1,
11,"Salinas, Dominique",So,OF,55,55,55,44,4,,1.000,,,,,48,,
10,"St. George, Peyton",Fr,SP/RP,38,10,10,1,19,,1.000,,,12,,20,,
19,"Wiercioch, Amelia",Fr,SP/RP,55,45,45,33,49,3,0.965,,,16,6,85,,
14,"Wilson, Raine",So,UT,55,53,53,45,144,13,0.936,,,,1,202,2,
3,"Wymbs, Haley",So,OF,45,39,39,33,1,1,0.971,,,,,35,,
