Jersey,Player,Yr,Pos,GP,GS,GS,G,BA,OBPct,SlgPct,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,WOBA
34,"Abboud, Rachel",Fr,UT,56,56,56,56,0.310,0.399,0.398,171,23,53,9,0,68,2,,20,8,21,4,4,18,4,1,1,,,,,69,33,0.399
27,"Butler, Brianna",Fr,UT,28,15,15,28,0.200,0.217,0.222,45,1,9,1,0,10,,,1,,5,,,11,2,,,,,,,15,9,0.219
21,"Cieslak, Emilie",Fr,INF,4,0,,4,0.000,0.250,0.000,3,,0,,,0,,,,1,,,,,,,,,,,,2,,0.167
31,"Dry, Kortney",Fr,INF,31,23,23,31,0.256,0.301,0.346,78,10,20,4,,27,1,,3,2,6,,3,7,4,1,1,,,,,28,21,0.316
1,"Ferraro, Jill",Sr,C,35,30,30,35,0.208,0.387,0.319,72,6,15,2,0,23,2,,16,5,8,,5,9,2,,,,,,,32,16,0.364
7,"Huey, Katherine",Fr,SP/RP,41,35,35,41,0.262,0.326,0.417,84,6,22,4,0,35,3,,7,1,13,,,24,5,3,2,,,,,14,22,0.356
2,"Kavel, Jameson",Fr,INF,56,56,56,56,0.272,0.319,0.387,191,32,52,9,5,74,1,,14,,18,2,6,24,3,3,2,,16,1,,56,60,0.342
4,"Metzger, Reilly",Jr,UT,38,32,32,38,0.243,0.369,0.300,70,12,17,4,0,21,,,7,7,2,,,6,,,,,,1,,25,21,0.346
30,"Moreno, Jazmine",Fr,UT,56,56,56,56,0.185,0.244,0.247,146,14,27,6,0,36,1,,11,1,11,2,15,15,4,1,,,6,3,,60,54,0.245
12,"Pridemore, Hannah",Fr,C,31,12,12,31,0.156,0.255,0.222,45,2,7,,,10,1,,6,,2,,,8,,,,,,,,17,12,0.244
13,"Rodriguez, Ashleigh",Fr,UT,52,41,41,52,0.062,0.167,0.062,32,7,2,,0,2,,,2,2,,,1,6,4,1,,,2,,,14,8,0.132
11,"Salinas, Dominique",So,OF,55,55,55,55,0.254,0.336,0.279,122,16,31,3,0,34,,,12,3,11,,6,18,6,1,,,7,1,,47,27,0.317
10,"St. George, Peyton",Fr,SP/RP,38,10,10,38,0.262,0.262,0.381,42,2,11,5,0,16,,,,,5,,,14,4,1,1,,,,,10,5,0.302
19,"Wiercioch, Amelia",Fr,SP/RP,55,45,45,55,0.287,0.354,0.441,143,12,41,9,2,63,3,,15,1,28,2,1,29,11,,,,,,,35,33,0.383
14,"Wilson, Raine",So,UT,55,53,53,55,0.371,0.453,0.593,167,35,62,15,2,99,6,,20,5,35,,3,15,6,5,4,,4,,,42,47,0.500
3,"Wymbs, Haley",So,OF,45,39,39,45,0.317,0.373,0.337,101,17,32,2,0,34,,,9,,7,,7,8,3,1,1,,2,1,,41,25,0.361
