Jersey,Player,Yr,Pos,GP,GS,GS,G,BA,OBPct,SlgPct,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,WOBA
34,"Abboud, Rachel",Fr,UT,56,56,,,0.450,0.500,0.500,20,3,9,1,,10,,,1,1,4,,,1,,,,,,,,6,4,0.500
27,"Butler, Brianna",Fr,UT,28,15,,,0.200,0.200,0.200,10,0,2,,,2,,,,,3,,,1,,,,,,,,2,5,0.200
31,"Dry, Kortney",Fr,INF,31,23,,,0.091,0.091,0.091,11,3,1,,,1,,,,,0,,1,1,1,,,,,,,6,1,0.091
1,"Ferraro, Jill",Sr,C,35,30,,,0.000,0.250,0.000,6,0,0,,,0,,,,2,0,,1,1,,,,,,,,2,4,0.167
7,"Huey, Katherine",Fr,SP/RP,41,35,,,0.111,0.273,0.111,9,0,1,,,1,,,1,1,0,,,5,2,1,,,,,,,2,0.219
2,"Kavel, Jameson",Fr,INF,56,56,,,0.200,0.200,0.360,25,2,5,2,1,9,,,,,2,,1,2,,1,1,,1,,,8,10,0.253
17,"Lutterloh, Makenna",Fr,OF,20,2,,,,,,0,2,0,,,0,,,,,0,,,,,,,,,,,,
4,"Metzger, Reilly",Jr,UT,38,32,,,0.200,0.333,0.200,5,1,1,,,1,,,,1,0,,,1,,,,,,1,,1,2,0.289
30,"Moreno, Jazmine",Fr,UT,56,56,,,0.263,0.333,0.421,19,3,5,3,,8,,,2,,2,,2,,,,,,,,,5,9,0.362
12,"Pridemore, Hannah",Fr,C,31,12,,,0.222,0.222,0.556,9,1,2,,,5,1,,,,1,,,1,,,,,,,,2,3,0.333
13,"Rodriguez, Ashleigh",Fr,UT,52,41,,,0.111,0.111,0.111,9,0,1,,,1,,,,,0,,1,3,1,,,,,,,2,3,0.111
11,"Salinas, Dominique",So,OF,55,55,,,0.200,0.273,0.200,10,4,2,,,2,,,1,,0,,,2,,,,,,,,3,3,0.249
10,"St. George, Peyton",Fr,SP/RP,38,10,,,0.000,0.000,0.000,3,0,0,,,0,,,,,0,,,2,2,,,,,,,1,,0.000
19,"Wiercioch, Amelia",Fr,SP/RP,55,45,,,0.188,0.188,0.375,16,1,3,1,1,6,,,,,1,,1,4,,,,,,,,4,5,0.250
14,"Wilson, Raine",So,UT,55,53,,,0.533,0.588,1.333,15,5,8,3,,20,3,,1,1,10,,,,,,,,,,,3,3,0.836
3,"Wymbs, Haley",So,OF,45,39,,,0.000,0.000,0.000,7,0,0,,,0,,,,,0,,1,1,,,,,,,,4,3,0.000
