Jersey,Player,Yr,Pos,GP,GS,GS,G,BA,OBPct,SlgPct,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,WOBA
34,"Abboud, Rachel",Fr,UT,56,56,,,0.291,0.387,0.384,151,20,44,8,,58,2,,19,7,17,4,4,17,4,1,1,,,,,63,29,0.386
27,"Butler, Brianna",Fr,UT,28,15,,,0.200,0.222,0.229,35,1,7,1,,8,,,1,,2,,,10,2,,,,,,,13,4,0.224
21,"Cieslak, Emilie",Fr,INF,4,0,,,0.000,0.250,0.000,3,0,0,,,0,,,,1,0,,,,,,,,,,,2,,0.167
31,"Dry, Kortney",Fr,INF,31,23,,,0.284,0.333,0.388,67,7,19,4,,26,1,,3,2,6,,2,6,3,1,1,,,,,22,20,0.351
1,"Ferraro, Jill",Sr,C,35,30,,,0.227,0.400,0.348,66,6,15,2,,23,2,,16,3,8,,4,8,2,,,,,,,30,12,0.383
7,"Huey, Katherine",Fr,SP/RP,41,35,,,0.280,0.333,0.453,75,6,21,4,,34,3,,6,,13,,,19,3,2,2,,,,,13,20,0.373
2,"Kavel, Jameson",Fr,INF,56,56,,,0.283,0.335,0.392,166,30,47,7,4,65,1,,14,,16,2,5,22,3,2,1,,15,1,,48,50,0.354
17,"Lutterloh, Makenna",Fr,OF,20,2,,,,,,0,9,0,,,0,,,,,0,,,,,,,,1,1,,,
4,"Metzger, Reilly",Jr,UT,38,32,,,0.246,0.372,0.308,65,11,16,4,,20,,,7,6,2,,,5,,,,,,,,24,19,0.351
30,"Moreno, Jazmine",Fr,UT,56,56,,,0.173,0.230,0.220,127,11,22,3,,28,1,,9,1,9,2,13,15,4,1,,,6,3,,53,45,0.227
12,"Pridemore, Hannah",Fr,C,31,12,,,0.139,0.262,0.139,36,1,5,,,5,,,6,,1,,,7,,,,,,,,15,9,0.221
13,"Rodriguez, Ashleigh",Fr,UT,52,41,,,0.043,0.185,0.043,23,7,1,,,1,,,2,2,0,,,3,3,1,,,2,,,12,5,0.138
11,"Salinas, Dominique",So,OF,55,55,,,0.259,0.341,0.286,112,12,29,3,,32,,,11,3,11,,6,16,6,1,,,7,1,,44,24,0.323
10,"St. George, Peyton",Fr,SP/RP,38,10,,,0.282,0.282,0.410,39,2,11,5,,16,,,,,5,,,12,2,1,1,,,,,9,5,0.325
19,"Wiercioch, Amelia",Fr,SP/RP,55,45,,,0.299,0.372,0.449,127,11,38,8,1,57,3,,15,1,27,2,,25,11,,,,,,,31,28,0.398
14,"Wilson, Raine",So,UT,55,53,,,0.355,0.440,0.520,152,30,54,12,2,79,3,,19,4,25,,3,15,6,5,4,,4,,,39,44,0.467
3,"Wymbs, Haley",So,OF,45,39,,,0.340,0.398,0.362,94,17,32,2,,34,,,9,,7,,6,7,3,1,1,,2,1,,37,22,0.386
