Jersey,Player,Yr,Pos,GP,GS,GS,PO,A,E,FldPct,CI,PB,SBA,CSB,TC,IDP,ITP
20,"Ablan, Amanda",So,SP/RP,15,9,9,,6,1,0.857,,,5,3,7,,
22,"Armistead, Tyler",Fr,SP/RP,37,4,4,3,,,1.000,,,,,3,,
5,"Avant, Mary Wilson",So,SP/RP,32,21,21,2,28,3,0.909,,,19,4,33,1,
24,"Bass, Kylie",Jr,SP/RP,25,13,13,4,13,,1.000,,,10,,17,,
4,"Bryan, Ciara",So,INF,61,61,61,76,3,1,0.988,,,,,80,1,
3,"Burton, Kendall",Sr,OF,61,61,61,57,5,2,0.969,,,,,64,1,
8,"DiCarlo, Alyssa",Jr,INF,61,61,61,76,87,14,0.921,,,,,177,4,
10,"Doggett, Jordan",So,INF,61,61,61,56,101,7,0.957,,,,,164,5,
1,"Emanuel, Cortni",Sr,OF,61,61,61,89,,1,0.989,,,,,90,,
9,"Febrey, Alysen",So,INF,61,61,61,329,6,12,0.965,,,,,347,10,
18,"Gray, Brittany",Sr,SP/RP,20,16,16,1,18,,1.000,,,2,3,19,,
12,"Harding, Karlie",So,INF,15,1,1,4,4,,1.000,,,,,8,,
7,"Harding, Kaylie",So,UT,40,24,24,,,,,,,,,0,,
0,"Mathis, Lauren",Fr,SP/RP,14,2,2,,2,,1.000,,,3,1,2,,
13,"McPherson, Madison",Fr,UT,5,,,,,,,,,2,,0,,
2,"Milz, Justice",So,INF,61,61,61,80,77,14,0.918,,,,,171,7,
21,"Morgan, Jessica",Fr,C,43,37,37,129,9,1,0.993,,3,18,1,139,1,
17,"Napoli, Keara",Fr,SP/RP,7,,,,2,,1.000,,,,1,2,,
11,"O'Neal, Mahlena",So,C,56,55,55,294,18,,1.000,,1,23,10,312,2,
6,"Railey, Tiffani",Fr,OF,16,1,1,,,,,,,,,0,,
