Jersey,Player,Yr,Pos,GP,GS,GS,G,BA,OBPct,SlgPct,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,WOBA
22,"Armistead, Tyler",Fr,SP/RP,37,4,4,37,0.174,0.296,0.174,23,19,4,,0,4,,,4,,,,2,3,,,,,,,,9,7,0.255
4,"Bryan, Ciara",So,INF,61,61,61,61,0.328,0.388,0.478,180,34,59,4,7,86,3,,17,2,28,2,1,25,7,2,1,,10,4,,43,50,0.418
3,"Burton, Kendall",Sr,OF,61,61,61,61,0.363,0.415,0.470,168,31,61,6,3,79,2,,14,1,18,,7,26,2,1,,,8,2,,37,48,0.433
8,"DiCarlo, Alyssa",Jr,INF,61,61,61,61,0.400,0.498,0.850,180,55,72,14,2,153,21,5,34,2,67,1,3,23,3,4,3,,4,1,,33,47,0.615
10,"Doggett, Jordan",So,INF,61,61,61,61,0.263,0.333,0.309,152,29,40,4,0,47,1,,14,2,15,,7,18,7,,,,3,1,,64,32,0.325
1,"Emanuel, Cortni",Sr,OF,61,61,61,61,0.431,0.460,0.517,211,66,91,7,1,109,3,,12,1,26,2,6,15,4,,,,52,5,,75,28,0.479
9,"Febrey, Alysen",So,INF,61,61,61,61,0.389,0.455,0.654,185,37,72,18,2,121,9,,18,6,50,2,2,18,3,5,1,,4,,,49,46,0.521
12,"Harding, Karlie",So,INF,15,1,1,15,0.429,0.556,0.429,7,6,3,,,3,,,2,,4,,1,,,,,,1,2,,3,2,0.514
7,"Harding, Kaylie",So,UT,40,24,24,40,0.186,0.247,0.200,70,13,13,1,0,14,,,5,1,6,1,2,14,2,,,,,,,31,16,0.231
13,"McPherson, Madison",Fr,UT,5,,,5,0.000,0.000,0.000,3,,0,,0,0,,,,,,,,1,,,,,,,,2,,0.000
2,"Milz, Justice",So,INF,61,61,61,61,0.372,0.443,0.691,191,44,71,14,1,132,15,,19,7,62,2,3,34,7,1,1,,5,,,42,42,0.526
21,"Morgan, Jessica",Fr,C,43,37,37,43,0.198,0.324,0.407,91,10,18,7,0,37,4,,13,4,21,,3,28,10,2,,,,,,28,19,0.352
11,"O'Neal, Mahlena",So,C,56,55,55,56,0.214,0.309,0.414,145,11,31,5,0,60,8,,19,1,34,,10,26,4,2,1,,,,,46,49,0.344
6,"Railey, Tiffani",Fr,OF,16,1,1,16,0.333,0.500,0.333,3,9,1,,0,1,,,1,,1,,,2,1,,,,2,,,,,0.444
