Jersey,Player,Yr,Pos,GP,GS,GS,G,BA,OBPct,SlgPct,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,WOBA
22,"Armistead, Tyler",Fr,SP/RP,37,4,,,0.250,0.250,0.250,4,3,1,,,1,,,,,0,,1,,,,,,,,,4,,0.250
4,"Bryan, Ciara",So,INF,61,61,,,0.391,0.462,0.565,23,6,9,2,1,13,,,3,,6,,,3,,1,,,3,,,4,5,0.496
3,"Burton, Kendall",Sr,OF,61,61,,,0.389,0.476,0.444,18,3,7,1,,8,,,3,,3,,1,2,,,,,1,,,4,6,0.465
8,"DiCarlo, Alyssa",Jr,INF,61,61,,,0.333,0.571,1.083,12,6,4,1,1,13,2,2,8,,7,1,,2,,,,,,,,2,4,0.742
10,"Doggett, Jordan",So,INF,61,61,,,0.333,0.400,0.444,18,4,6,2,,8,,,2,,5,,,2,1,,,,,,,9,1,0.415
1,"Emanuel, Cortni",Sr,OF,61,61,,,0.524,0.542,0.619,21,7,11,2,,13,,,2,,4,1,1,1,1,,,,5,1,,8,3,0.568
9,"Febrey, Alysen",So,INF,61,61,,,0.389,0.522,0.500,18,6,7,2,,9,,,5,,3,,,5,1,,,,1,,,2,3,0.515
12,"Harding, Karlie",So,INF,15,1,,,,,,0,1,0,,,0,,,,,0,,,,,,,,1,1,,,
7,"Harding, Kaylie",So,UT,40,24,,,0.375,0.500,0.375,8,2,3,,,3,,,1,1,0,,,,,,,,,,,5,,0.458
2,"Milz, Justice",So,INF,61,61,,,0.316,0.409,0.684,19,2,6,2,1,13,1,,3,,6,,1,1,,,,,,,,5,7,0.501
21,"Morgan, Jessica",Fr,C,43,37,,,0.100,0.100,0.200,10,1,1,1,,2,,,,,1,,,6,1,,,,,,,1,2,0.133
11,"O'Neal, Mahlena",So,C,56,55,,,0.385,0.600,1.000,13,3,5,2,,13,2,,7,,8,,3,1,1,,,,,,,7,2,0.733
6,"Railey, Tiffani",Fr,OF,16,1,,,,,,0,1,0,,,0,,,,,0,,,,,,,,,,,,
