Jersey,Player,Yr,Pos,GP,GS,GS,G,BA,OBPct,SlgPct,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,WOBA
22,"Armistead, Tyler",Fr,SP/RP,37,4,,,0.429,0.429,0.429,7,0,3,,,3,,,,,0,,,,,,,,,,,4,,0.429
4,"Bryan, Ciara",So,INF,61,61,,,0.366,0.422,0.512,41,0,15,1,1,21,1,,4,,1,,,4,,,,,,,,10,11,0.452
3,"Burton, Kendall",Sr,OF,61,61,,,0.500,0.550,0.667,36,0,18,1,1,24,1,,4,,1,,,2,,,,,,,,7,9,0.589
8,"DiCarlo, Alyssa",Jr,INF,61,61,,,0.321,0.424,0.571,28,0,9,1,,16,2,,5,,2,,,3,,,,,,,,10,5,0.473
10,"Doggett, Jordan",So,INF,61,61,,,0.194,0.242,0.194,31,0,6,,,6,,,2,,0,,,3,1,,,,,,,13,9,0.226
1,"Emanuel, Cortni",Sr,OF,61,61,,,0.506,0.529,0.554,83,0,42,2,1,46,,,4,,0,,,6,1,,,,,,,27,7,0.537
9,"Febrey, Alysen",So,INF,61,61,,,0.400,0.483,0.480,25,0,10,2,,12,,,3,1,0,,,1,,,,,,,,9,5,0.482
7,"Harding, Kaylie",So,UT,40,24,,,0.154,0.214,0.231,13,0,2,1,,3,,,1,,0,,,1,,,,,,,,8,3,0.220
13,"McPherson, Madison",Fr,UT,5,,,,0.000,0.000,0.000,2,0,0,,,0,,,,,0,,,,,,,,,,,2,,0.000
2,"Milz, Justice",So,INF,61,61,,,0.375,0.400,0.667,24,0,9,4,,16,1,,1,,1,,,4,2,,,,,,,2,9,0.489
21,"Morgan, Jessica",Fr,C,43,37,,,0.053,0.280,0.053,19,0,1,,,1,,,4,2,0,,,7,4,,,,,,,5,6,0.204
11,"O'Neal, Mahlena",So,C,56,55,,,0.226,0.400,0.452,31,0,7,1,,14,2,,8,1,2,,,3,2,,,,,,,8,13,0.417
