Jersey,Player,Yr,Pos,GP,GS,GS,PO,A,E,FldPct,CI,PB,SBA,CSB,TC,IDP,ITP
11,"Bailiff, Katie",Jr,C,50,48,48,217,13,,1.000,,11,25,5,230,1,
10,"Burkhardt, Kristina",Fr,OF,53,50,50,69,13,4,0.953,,,,,86,,
6,"Cole, Hailey",So,INF,47,19,19,14,30,6,0.880,,,,,50,3,
2,"Daly, Kellyn",So,SP/RP,10,6,6,2,5,,1.000,,,4,1,7,1,
22,"DeBerry, Destiny",Jr,OF,46,32,32,37,2,,1.000,,,,,39,1,
27,"Delamora, Berlynne",Jr,INF,42,30,30,17,29,2,0.958,,,,,48,1,
55,"Dray, Megan",Fr,C,47,35,35,105,39,9,0.941,,5,14,3,153,3,
33,"Goodman, Zoë",Fr,C,17,6,6,,,,,,,,,0,,
5,"Hutcherson, Campbell",So,INF,33,25,25,194,5,1,0.995,,,,,200,5,
3,"Jensen, Hailey",So,C,28,18,18,,,,,,,,,0,,
4,"Murray, Leah",Jr,OF,51,49,49,105,7,3,0.974,,,,,115,4,
24,"Nommensen, Hannah",So,SP/RP,13,6,6,1,6,1,0.875,,,2,1,8,,
13,"Olinger, Katie Grace",Fr,SP/RP,13,6,6,1,5,1,0.857,,,9,,7,,
15,"Parkinson, Sierra",Fr,INF,49,36,36,80,56,8,0.944,,,,,144,5,
28,"Pickett, Brittany",So,SP/RP,53,46,46,20,57,2,0.975,,,24,6,79,1,
8,"Ramsey, Kiani",Jr,OF,55,52,52,68,5,2,0.973,,,,,75,,
17,"Shifflett, Katelyn",Sr,INF,42,34,34,106,40,5,0.967,,,,,151,8,
20,"Todd, Hannah",Fr,SP/RP,5,2,2,,,,,,,,,0,,
0,"West, Brittany",So,OF,38,1,1,1,,1,0.500,,,,,2,,
7,"Wike, Taylor",Sr,INF,56,56,56,84,98,10,0.948,,,,,192,9,
Jersey,Player,Yr,Pos,GP,GS,GS,PO,A,E,FldPct,CI,PB,SBA,CSB,TC,IDP,ITP
11,"Bailiff, Katie",Jr,C,50,48,48,217,13,,1.000,,11,25,5,230,1,
10,"Burkhardt, Kristina",Fr,OF,53,50,50,69,13,4,0.953,,,,,86,,
6,"Cole, Hailey",So,INF,47,19,19,14,30,6,0.880,,,,,50,3,
2,"Daly, Kellyn",So,SP/RP,10,6,6,2,5,,1.000,,,4,1,7,1,
22,"DeBerry, Destiny",Jr,OF,46,32,32,37,2,,1.000,,,,,39,1,
27,"Delamora, Berlynne",Jr,INF,42,30,30,17,29,2,0.958,,,,,48,1,
55,"Dray, Megan",Fr,C,47,35,35,105,39,9,0.941,,5,14,3,153,3,
33,"Goodman, Zoë",Fr,C,17,6,6,,,,,,,,,0,,
5,"Hutcherson, Campbell",So,INF,33,25,25,194,5,1,0.995,,,,,200,5,
3,"Jensen, Hailey",So,C,28,18,18,,,,,,,,,0,,
4,"Murray, Leah",Jr,OF,51,49,49,105,7,3,0.974,,,,,115,4,
24,"Nommensen, Hannah",So,SP/RP,13,6,6,1,6,1,0.875,,,2,1,8,,
13,"Olinger, Katie Grace",Fr,SP/RP,13,6,6,1,5,1,0.857,,,9,,7,,
15,"Parkinson, Sierra",Fr,INF,49,36,36,80,56,8,0.944,,,,,144,5,
28,"Pickett, Brittany",So,SP/RP,53,46,46,20,57,2,0.975,,,24,6,79,1,
8,"Ramsey, Kiani",Jr,OF,55,52,52,68,5,2,0.973,,,,,75,,
17,"Shifflett, Katelyn",Sr,INF,42,34,34,106,40,5,0.967,,,,,151,8,
20,"Todd, Hannah",Fr,SP/RP,5,2,2,,,,,,,,,0,,
0,"West, Brittany",So,OF,38,1,1,1,,1,0.500,,,,,2,,
7,"Wike, Taylor",Sr,INF,56,56,56,84,98,10,0.948,,,,,192,9,
