Jersey,Player,Yr,Pos,GP,GS,GS,G,BA,OBPct,SlgPct,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,WOBA
16,"Abbatine, Micaela",So,OF,17,,,17,0.000,0.000,0.000,1,7,0,,0,0,,,,,,,,,,,,,3,1,,,1,0.000
11,"Bailiff, Katie",Jr,C,50,48,48,50,0.214,0.296,0.286,112,5,24,5,0,32,1,,7,6,14,,6,15,6,2,,,,,,40,31,0.293
10,"Burkhardt, Kristina",Fr,OF,53,50,50,53,0.282,0.339,0.443,149,23,42,11,2,66,3,,12,2,21,2,2,12,3,4,2,,12,,,41,51,0.374
23,"Burns, Brooke",So,INF,8,,,8,0.250,0.400,0.250,4,2,1,,0,1,,,1,,,,,2,1,,,,,,,,,0.350
6,"Cole, Hailey",So,INF,47,19,19,47,0.293,0.293,0.293,41,18,12,,0,12,,,,,5,,3,11,2,1,,,8,3,,17,2,0.293
22,"DeBerry, Destiny",Jr,OF,46,32,32,46,0.342,0.358,0.380,79,17,27,1,1,30,,,1,1,3,,2,6,1,,,,13,4,,31,13,0.365
27,"Delamora, Berlynne",Jr,INF,42,30,30,42,0.169,0.438,0.215,65,4,11,3,0,14,,1,26,5,11,,2,7,3,2,1,,,,,31,15,0.364
55,"Dray, Megan",Fr,C,47,35,35,47,0.188,0.241,0.267,101,5,19,3,1,27,1,,6,1,13,,,12,4,1,1,,,,,26,42,0.250
33,"Goodman, Zoë",Fr,C,17,6,6,17,0.192,0.303,0.346,26,1,5,1,0,9,1,,5,,7,2,,4,3,1,1,,,,,12,6,0.317
5,"Hutcherson, Campbell",So,INF,33,25,25,33,0.210,0.306,0.339,62,7,13,2,0,21,2,,9,,7,1,1,17,2,1,,,,1,,14,19,0.317
3,"Jensen, Hailey",So,C,28,18,18,28,0.333,0.409,0.526,57,4,19,2,0,30,3,,7,1,10,1,,17,5,,,,,,,11,10,0.448
4,"Murray, Leah",Jr,OF,51,49,49,51,0.344,0.382,0.369,160,33,55,4,0,59,,,10,,9,,6,14,4,1,,,34,5,,66,22,0.378
15,"Parkinson, Sierra",Fr,INF,49,36,36,49,0.257,0.325,0.305,105,14,27,2,0,32,1,,8,3,13,1,4,16,5,3,1,,1,5,,23,42,0.318
28,"Pickett, Brittany",So,SP/RP,53,46,46,53,0.313,0.424,0.663,83,12,26,5,0,55,8,,14,2,25,,,25,9,2,1,,,,,13,17,0.504
8,"Ramsey, Kiani",Jr,OF,55,52,52,55,0.374,0.433,0.439,155,24,58,3,2,68,1,,16,,15,,4,15,8,1,,,17,4,,53,24,0.435
17,"Shifflett, Katelyn",Sr,INF,42,34,34,42,0.212,0.274,0.388,85,5,18,6,0,33,3,,5,3,11,2,3,22,6,2,,,1,,,23,26,0.312
20,"Todd, Hannah",Fr,SP/RP,5,2,2,5,0.000,0.000,0.000,1,,0,,0,0,,,,,,,,1,,,,,,,,,,0.000
0,"West, Brittany",So,OF,38,1,1,38,0.250,0.250,0.250,4,16,1,,0,1,,,,,,,,3,,,,,7,3,,,,0.250
7,"Wike, Taylor",Sr,INF,56,56,56,56,0.354,0.451,0.591,164,28,58,9,3,97,8,1,25,5,34,1,6,11,6,2,,,20,5,,53,48,0.498
Jersey,Player,Yr,Pos,GP,GS,GS,G,BA,OBPct,SlgPct,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,WOBA
