Jersey,Player,Yr,Pos,GP,GS,GS,G,BA,OBPct,SlgPct,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,WOBA
16,"Abbatine, Micaela",So,OF,17,,,,,,,0,2,0,,,0,,,,,0,,,,,,,,1,1,,,
11,"Bailiff, Katie",Jr,C,50,48,,,0.300,0.440,0.450,20,2,6,,,9,1,,2,3,4,,,3,1,,,,,,,5,4,0.443
10,"Burkhardt, Kristina",Fr,OF,53,50,,,0.389,0.450,0.611,18,5,7,1,,11,1,,2,,2,,,1,,1,,,2,,,4,6,0.504
23,"Burns, Brooke",So,INF,8,,,,0.000,0.000,0.000,1,1,0,,,0,,,,,0,,,,,,,,,,,,,0.000
6,"Cole, Hailey",So,INF,47,19,,,0.455,0.455,0.455,11,3,5,,,5,,,,,2,,,2,1,,,,5,2,,3,1,0.455
22,"DeBerry, Destiny",Jr,OF,46,32,,,0.385,0.429,0.385,13,2,5,,,5,,,,1,0,,,1,1,,,,2,,,4,2,0.414
27,"Delamora, Berlynne",Jr,INF,42,30,,,0.000,0.375,0.000,5,0,0,,,0,,,2,1,1,,,1,1,,,,,,,3,1,0.250
55,"Dray, Megan",Fr,C,47,35,,,0.067,0.067,0.067,15,0,1,,,1,,,,,1,,,4,1,,,,,,,7,3,0.067
33,"Goodman, Zoë",Fr,C,17,6,,,0.500,0.750,1.000,2,0,1,1,,2,,,2,,1,,,,,,,,,,,1,,0.833
31,"Huecker, Jordyn",Fr,UT,3,0,,,,,,0,0,0,,,0,,,,,0,,,,,,,,,,,,
5,"Hutcherson, Campbell",So,INF,33,25,,,0.250,0.333,0.250,8,1,2,,,2,,,1,,1,,,4,,,,,,,,,2,0.305
3,"Jensen, Hailey",So,C,28,18,,,0.385,0.500,0.692,13,1,5,1,,9,1,,3,,3,,,4,1,,,,,,,4,,0.564
4,"Murray, Leah",Jr,OF,51,49,,,0.276,0.276,0.276,29,5,8,,,8,,,,,2,,1,7,1,,,,7,,,9,5,0.276
15,"Parkinson, Sierra",Fr,INF,49,36,,,0.188,0.316,0.188,16,2,3,,,3,,,3,,2,,1,4,1,,,,1,,,1,8,0.273
28,"Pickett, Brittany",So,SP/RP,53,46,,,0.333,0.412,0.933,15,3,5,,,14,3,,1,1,7,,,3,2,,,,,,,1,6,0.586
8,"Ramsey, Kiani",Jr,OF,55,52,,,0.400,0.464,0.440,25,3,10,1,,11,,,3,,2,,,3,2,,,,3,2,,5,6,0.456
17,"Shifflett, Katelyn",Sr,INF,42,34,,,0.000,0.000,0.000,9,0,0,,,0,,,,,0,,,1,,1,,,,,,5,3,0.000
0,"West, Brittany",So,OF,38,1,,,,,,0,2,0,,,0,,,,,0,,,,,,,,1,1,,,
7,"Wike, Taylor",Sr,INF,56,56,,,0.333,0.379,0.444,27,4,9,,,12,1,,2,,2,,1,2,1,,,,3,2,,10,7,0.401
