Jersey,Player,Yr,Pos,GP,GS,GS,G,BA,OBPct,SlgPct,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,WOBA
16,"Abbatine, Micaela",So,OF,17,,,,0.000,0.000,0.000,1,5,0,,,0,,,,,0,,,,,,,,2,,,,1,0.000
11,"Bailiff, Katie",Jr,C,50,48,,,0.196,0.260,0.250,92,3,18,5,,23,,,5,3,10,,6,12,5,2,,,,,,35,27,0.257
10,"Burkhardt, Kristina",Fr,OF,53,50,,,0.267,0.324,0.420,131,18,35,10,2,55,2,,10,2,19,2,2,11,3,3,2,,10,,,37,45,0.356
23,"Burns, Brooke",So,INF,8,,,,0.333,0.500,0.333,3,1,1,,,1,,,1,,0,,,2,1,,,,,,,,,0.444
6,"Cole, Hailey",So,INF,47,19,,,0.233,0.233,0.233,30,15,7,,,7,,,,,3,,3,9,1,1,,,3,1,,14,1,0.233
22,"DeBerry, Destiny",Jr,OF,46,32,,,0.333,0.343,0.379,66,15,22,1,1,25,,,1,,3,,2,5,,,,,11,4,,27,11,0.355
27,"Delamora, Berlynne",Jr,INF,42,30,,,0.183,0.443,0.233,60,4,11,3,,14,,1,24,4,10,,2,6,2,2,1,,,,,28,14,0.373
55,"Dray, Megan",Fr,C,47,35,,,0.209,0.269,0.302,86,5,18,3,1,26,1,,6,1,12,,,8,3,1,1,,,,,19,39,0.280
33,"Goodman, Zoë",Fr,C,17,6,,,0.167,0.241,0.292,24,1,4,,,7,1,,3,,6,2,,4,3,1,1,,,,,11,6,0.258
31,"Huecker, Jordyn",Fr,UT,3,0,,,,,,0,0,0,,,0,,,,,0,,,,,,,,,,,,
5,"Hutcherson, Campbell",So,INF,33,25,,,0.204,0.302,0.352,54,6,11,2,,19,2,,8,,6,1,1,13,2,1,,,,1,,14,17,0.319
3,"Jensen, Hailey",So,C,28,18,,,0.318,0.380,0.477,44,3,14,1,,21,2,,4,1,7,1,,13,4,,,,,,,7,10,0.412
4,"Murray, Leah",Jr,OF,51,49,,,0.359,0.404,0.389,131,28,47,4,,51,,,10,,7,,5,7,3,1,,,27,5,,57,17,0.399
15,"Parkinson, Sierra",Fr,INF,49,36,,,0.270,0.327,0.326,89,12,24,2,,29,1,,5,3,11,1,3,12,4,3,1,,,5,,22,34,0.327
28,"Pickett, Brittany",So,SP/RP,53,46,,,0.309,0.427,0.603,68,9,21,5,,41,5,,13,1,18,,,22,7,2,1,,,,,12,11,0.486
8,"Ramsey, Kiani",Jr,OF,55,52,,,0.369,0.427,0.438,130,21,48,2,2,57,1,,13,,13,,4,12,6,1,,,14,2,,48,18,0.431
17,"Shifflett, Katelyn",Sr,INF,42,34,,,0.237,0.302,0.434,76,5,18,6,,33,3,,5,3,11,2,3,21,6,1,,,1,,,18,23,0.346
20,"Todd, Hannah",Fr,SP/RP,5,2,,,0.000,0.000,0.000,1,0,0,,,0,,,,,0,,,1,,,,,,,,,,0.000
0,"West, Brittany",So,OF,38,1,,,0.250,0.250,0.250,4,14,1,,,1,,,,,0,,,3,,,,,6,2,,,,0.250
7,"Wike, Taylor",Sr,INF,56,56,,,0.358,0.464,0.620,137,24,49,9,3,85,7,1,23,5,32,1,5,9,5,2,,,17,3,,43,41,0.516
