Jersey,Player,Yr,Pos,GP,GS,GS,PO,A,E,FldPct,CI,PB,SBA,CSB,TC,IDP,ITP
26,"Batesole, Morgan",Fr,INF,31,1,1,3,,,1.000,,,,,3,,
4,"Dawson, Sarah",Jr,SP,34,24,24,9,37,2,0.958,,,14,4,48,3,
12,"DeMatteo, Marissa",Jr,INF,46,9,9,,,,,,,,,0,,
48,"Fredericks, Gabrielle",Jr,INF,52,52,52,359,11,5,0.987,,1,4,2,375,23,
10,"Gray, Olivia",Jr,INF,52,52,52,83,173,9,0.966,,,,,265,18,
27,"Harris, Kayla",Sr,SP,31,23,23,,23,,1.000,,,10,5,23,1,
31,"Haynes, Alexee",So,INF,19,10,10,67,1,1,0.986,,,,,69,2,
9,"Hershman, Erin",Sr,OF,51,48,48,56,3,1,0.983,,,,,60,,
30,"Knight, Brittany",So,SP,10,1,1,,5,,1.000,,,1,1,5,,
7,"Kruger, Kaitlyn",So,INF,40,34,34,3,,,1.000,,,,,3,,
5,"Levesque, Hunter",Fr,INF,51,49,49,55,3,2,0.967,,,,,60,1,
1,"McGaffic, Connor",So,OF,26,16,16,10,1,,1.000,,,,,11,,
6,"Myers, Taylor",Jr,OF,49,40,40,60,1,1,0.984,,,,,62,1,
11,"Rahach, Taylor",Jr,SP,18,4,4,2,6,,1.000,,,3,,8,,
22,"Solak, Alexis",Jr,INF,52,52,52,87,83,5,0.971,,,,,175,18,
17,"Stimson, Taylor",Sr,OF,13,1,1,,,,,,,,,0,,
15,"Taylor, Mckayla",Sr,INF,52,52,52,54,148,20,0.910,,,,,222,12,
21,"Zeremenko, Giorgiana",Sr,C,52,52,52,191,14,2,0.990,,1,24,8,207,3,
