Jersey,Player,Yr,Pos,GP,GS,GS,G,BA,OBPct,SlgPct,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,WOBA
26,"Batesole, Morgan",Fr,INF,31,1,1,31,0.143,0.250,0.286,7,9,1,1,0,2,,,1,,1,,,3,1,,,,3,,,,3,0.262
12,"DeMatteo, Marissa",Jr,INF,46,9,9,46,0.229,0.250,0.314,35,18,8,,0,11,1,,,1,3,,2,12,3,1,,,3,,,11,5,0.271
48,"Fredericks, Gabrielle",Jr,INF,52,52,52,52,0.227,0.317,0.369,141,12,32,8,0,52,4,,18,1,21,1,3,19,3,2,1,,1,,,60,32,0.334
10,"Gray, Olivia",Jr,INF,52,52,52,52,0.311,0.378,0.460,161,29,50,8,2,74,4,,15,3,25,1,6,19,4,,,,6,4,,42,51,0.405
31,"Haynes, Alexee",So,INF,19,10,10,19,0.088,0.162,0.088,34,1,3,,,3,,,3,,3,,,11,6,1,,,,,,5,14,0.137
9,"Hershman, Erin",Sr,OF,51,48,48,51,0.239,0.328,0.444,117,22,28,9,0,52,5,,10,6,19,1,5,46,10,,,,1,2,,23,22,0.367
14,"Horrell, Brie",Fr,INF,2,0,,2,0.000,0.000,0.000,1,,0,,,0,,,,,,,,,,,,,,,,,,0.000
7,"Kruger, Kaitlyn",So,INF,40,34,34,40,0.280,0.368,0.460,100,20,28,4,1,46,4,,12,2,17,,4,21,6,2,1,,5,,,29,21,0.399
5,"Levesque, Hunter",Fr,INF,51,49,49,51,0.305,0.393,0.443,131,28,40,4,1,58,4,,18,1,20,,6,23,3,2,,,6,,,38,30,0.410
1,"McGaffic, Connor",So,OF,26,16,16,26,0.152,0.273,0.217,46,5,7,,,10,1,,5,3,6,1,,14,1,,,,1,,,14,11,0.254
6,"Myers, Taylor",Jr,OF,49,40,40,49,0.248,0.349,0.358,109,15,27,6,0,39,2,,14,4,14,2,1,26,7,,,,6,1,,18,36,0.352
22,"Solak, Alexis",Jr,INF,52,52,52,52,0.273,0.348,0.366,161,27,44,6,0,59,3,,15,4,21,1,5,25,4,2,1,,2,,,48,42,0.354
17,"Stimson, Taylor",Sr,OF,13,1,1,13,0.250,0.250,0.250,8,2,2,,,2,,,,,2,,,2,,,,,1,,,3,1,0.250
15,"Taylor, Mckayla",Sr,INF,52,52,52,52,0.261,0.386,0.516,157,42,41,7,0,81,11,,19,13,30,,1,27,5,3,3,,3,,,30,53,0.429
21,"Zeremenko, Giorgiana",Sr,C,52,52,52,52,0.340,0.464,0.714,147,28,50,10,0,105,15,7,34,1,29,1,3,21,5,4,2,,1,1,,39,36,0.547
