Jersey,Player,Yr,Pos,GP,GS,GS,G,BA,OBPct,SlgPct,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,WOBA
26,"Batesole, Morgan",Fr,INF,31,1,,,,,,0,3,0,,,0,,,,,0,,,,,,,,1,,,,
12,"DeMatteo, Marissa",Jr,INF,46,9,,,0.167,0.167,0.167,6,3,1,,,1,,,,,0,,,4,1,,,,,,,1,,0.167
48,"Fredericks, Gabrielle",Jr,INF,52,52,,,0.235,0.435,0.235,17,0,4,,,4,,,6,,4,,,3,1,,,,1,,,4,6,0.368
10,"Gray, Olivia",Jr,INF,52,52,,,0.346,0.393,0.385,26,2,9,1,,10,,,2,,1,,,5,2,,,,,1,,5,7,0.390
31,"Haynes, Alexee",So,INF,19,10,,,0.143,0.143,0.143,7,1,1,,,1,,,,,1,,,1,1,,,,,,,1,4,0.143
9,"Hershman, Erin",Sr,OF,51,48,,,0.263,0.263,0.316,19,2,5,1,,6,,,,,1,,1,6,1,,,,,,,6,3,0.281
14,"Horrell, Brie",Fr,INF,2,0,,,,,,0,0,0,,,0,,,,,0,,,,,,,,,,,,
7,"Kruger, Kaitlyn",So,INF,40,34,,,0.300,0.364,0.600,10,3,3,,,6,1,,1,,4,,,2,1,,,,1,,,3,2,0.443
5,"Levesque, Hunter",Fr,INF,51,49,,,0.222,0.263,0.278,18,3,4,1,,5,,,1,,0,,,5,,,,,2,,,5,3,0.268
1,"McGaffic, Connor",So,OF,26,16,,,0.000,0.286,0.000,5,0,0,,,0,,,1,1,1,,,1,,,,,,,,1,3,0.191
6,"Myers, Taylor",Jr,OF,49,40,,,0.263,0.364,0.263,19,1,5,,,5,,,2,1,3,,1,4,2,,,,1,1,,2,9,0.330
22,"Solak, Alexis",Jr,INF,52,52,,,0.308,0.333,0.385,26,3,8,2,,10,,,1,,5,,,2,,,,,1,,,9,7,0.350
17,"Stimson, Taylor",Sr,OF,13,1,,,,,,0,0,0,,,0,,,,,0,,,,,,,,,,,,
15,"Taylor, Mckayla",Sr,INF,52,52,,,0.160,0.222,0.400,25,5,4,,,10,2,,2,,5,,,4,1,,,,,,,5,11,0.281
21,"Zeremenko, Giorgiana",Sr,C,52,52,,,0.333,0.462,0.714,21,4,7,2,,15,2,2,5,,3,,1,6,2,1,,,,,,6,3,0.546
