Jersey,Player,Yr,Pos,GP,GS,GS,G,BA,OBPct,SlgPct,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,WOBA
26,"Batesole, Morgan",Fr,INF,31,1,,,0.143,0.250,0.286,7,6,1,1,,2,,,1,,1,,,3,1,,,,2,,,,3,0.262
12,"DeMatteo, Marissa",Jr,INF,46,9,,,0.241,0.267,0.345,29,15,7,,,10,1,,,1,3,,2,8,2,1,,,3,,,10,5,0.293
48,"Fredericks, Gabrielle",Jr,INF,52,52,,,0.224,0.295,0.384,125,12,28,8,,48,4,,12,1,17,1,3,16,2,2,1,,,,,55,26,0.325
10,"Gray, Olivia",Jr,INF,52,52,,,0.304,0.375,0.474,135,27,41,7,2,64,4,,13,3,24,1,6,14,2,,,,6,3,,37,44,0.408
31,"Haynes, Alexee",So,INF,19,10,,,0.074,0.167,0.074,27,0,2,,,2,,,3,,2,,,10,5,,,,,,,4,10,0.136
9,"Hershman, Erin",Sr,OF,51,48,,,0.235,0.339,0.469,98,20,23,8,,46,5,,10,6,18,1,4,40,9,,,,1,2,,17,19,0.382
14,"Horrell, Brie",Fr,INF,2,0,,,0.000,0.000,0.000,1,0,0,,,0,,,,,0,,,,,,,,,,,,,0.000
7,"Kruger, Kaitlyn",So,INF,40,34,,,0.278,0.369,0.444,90,17,25,4,1,40,3,,11,2,13,,4,19,5,2,1,,4,,,26,19,0.394
5,"Levesque, Hunter",Fr,INF,51,49,,,0.319,0.412,0.469,113,25,36,3,1,53,4,,17,1,20,,6,18,3,2,,,4,,,33,27,0.431
1,"McGaffic, Connor",So,OF,26,16,,,0.171,0.271,0.244,41,5,7,,,10,1,,4,2,5,1,,13,1,,,,1,,,13,9,0.262
6,"Myers, Taylor",Jr,OF,49,40,,,0.244,0.346,0.378,90,14,22,6,,34,2,,12,3,11,2,,22,5,,,,5,,,16,27,0.357
22,"Solak, Alexis",Jr,INF,52,52,,,0.267,0.351,0.363,135,24,36,4,,49,3,,14,4,16,1,5,23,4,2,1,,1,,,39,35,0.355
17,"Stimson, Taylor",Sr,OF,13,1,,,0.250,0.250,0.250,8,2,2,,,2,,,,,2,,,2,,,,,1,,,3,1,0.250
15,"Taylor, Mckayla",Sr,INF,52,52,,,0.280,0.414,0.538,132,37,37,7,,71,9,,17,13,25,,1,23,4,3,3,,3,,,25,42,0.455
21,"Zeremenko, Giorgiana",Sr,C,52,52,,,0.341,0.465,0.714,126,24,43,8,,90,13,5,29,1,26,1,2,15,3,3,2,,1,1,,33,33,0.548
