Jersey,Player,Yr,Pos,GP,GS,GS,PO,A,E,FldPct,CI,PB,SBA,CSB,TC,IDP,ITP
88,"Allen, Kaylee",Sr,SP/RP,33,21,21,4,23,2,0.931,,,26,4,29,,
24,"Alverson, Camryn",Fr,SP/RP,33,10,10,2,9,,1.000,,,16,,11,,
3,"Anderson, Megan",Jr,INF,40,39,39,2,1,1,0.750,,,,,4,,
22,"Bissett, Presley",So,INF,45,45,45,55,98,23,0.869,,,,,176,5,
9,"Caswell, Hailey",Fr,INF,26,10,10,12,17,8,0.784,,,,,37,,
13,"Cook, Alex",Sr,SP/RP,30,18,18,2,36,5,0.884,,,29,6,43,,
10,"Edgerton, Alexis",Fr,INF,28,21,21,33,40,16,0.820,,,,,89,1,
20,"Harris, Jenna",Sr,OF,9,6,6,,,2,0.000,,,,,2,,
35,"Harris, Lindsay",So,C,46,46,46,279,8,3,0.990,,1,12,1,290,5,
8,"Hyatt, Macy",Fr,C,45,43,43,91,41,4,0.971,,1,40,6,136,2,
23,"Lucas, Kelly",So,2B,17,7,7,6,,1,0.857,,,,,7,,
21,"Lyons, Chelsea",Jr,OF,46,46,46,79,3,4,0.953,,,,,86,2,
25,"Nichols, Cassie",So,INF,9,1,1,,,,,,,,,0,,
33,"Petree, Jonnie",Jr,INF,46,46,46,99,59,7,0.958,,,,,165,3,
11,"Ramsbottom, Sarah",Fr,SP/RP,11,7,7,,4,1,0.800,,,9,,5,,
2,"Wallace, Grace",Fr,C,28,17,17,41,6,2,0.959,,,28,3,49,1,
14,"White, Courtney",So,OF,37,34,34,85,3,2,0.978,,,,,90,2,
4,"Wilbanks, Ansley",Jr,OF,43,43,43,56,4,1,0.984,,,,,61,2,
