Jersey,Player,Yr,Pos,GP,GS,GS,G,BA,OBPct,SlgPct,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,WOBA
24,"Alverson, Camryn",Fr,SP/RP,33,10,10,33,0.161,0.278,0.290,31,4,5,1,0,9,1,,5,,4,,,10,1,,,,,,,8,7,0.282
3,"Anderson, Megan",Jr,INF,40,39,39,40,0.294,0.328,0.437,119,10,35,11,,52,2,,5,1,19,,1,14,,1,1,,,,,33,35,0.364
22,"Bissett, Presley",So,INF,45,45,45,45,0.165,0.216,0.204,103,5,17,4,,21,,,6,1,7,1,4,25,4,1,1,,,,,31,32,0.212
9,"Caswell, Hailey",Fr,INF,26,10,10,26,0.194,0.242,0.194,31,8,6,,,6,,,2,,3,,,9,1,,,,,,,7,5,0.226
10,"Edgerton, Alexis",Fr,INF,28,21,21,28,0.133,0.220,0.156,45,3,6,1,,7,,,2,3,,,,14,4,,,,,,,15,8,0.199
20,"Harris, Jenna",Sr,OF,9,6,6,9,0.000,0.077,0.000,12,1,0,,,0,,,1,,,,,5,2,1,,,,,,3,3,0.051
35,"Harris, Lindsay",So,C,46,46,46,46,0.192,0.281,0.308,120,8,23,6,1,37,2,,15,,15,,3,37,9,1,,,,,,27,30,0.290
8,"Hyatt, Macy",Fr,C,45,43,43,45,0.304,0.356,0.360,125,10,38,4,,45,1,,8,2,13,,1,19,5,2,,,,,,27,41,0.357
23,"Lucas, Kelly",So,2B,17,7,7,17,0.130,0.167,0.130,23,1,3,,,3,,,1,,,,,4,4,,,,,,,9,6,0.155
21,"Lyons, Chelsea",Jr,OF,46,46,46,46,0.203,0.246,0.211,123,13,25,1,,26,,,6,1,9,,3,16,6,1,,,5,,,50,30,0.234
25,"Nichols, Cassie",So,INF,9,1,1,9,0.100,0.182,0.100,10,,1,,,1,,,1,,,,,7,2,,,,,,,1,1,0.155
33,"Petree, Jonnie",Jr,INF,46,46,46,46,0.260,0.294,0.260,146,17,38,,,38,,,7,,3,,5,18,7,,,,16,3,,68,18,0.283
2,"Wallace, Grace",Fr,C,28,17,17,28,0.127,0.158,0.182,55,2,7,,,10,1,,2,,3,,,17,1,,,,,,,14,16,0.166
14,"White, Courtney",So,OF,37,34,34,37,0.140,0.178,0.198,86,4,12,2,,17,1,,3,1,6,,4,21,4,1,1,,,,,31,25,0.185
4,"Wilbanks, Ansley",Jr,OF,43,43,43,43,0.211,0.250,0.228,114,11,24,,1,26,,,6,,6,,7,8,,1,1,,1,,,67,17,0.243
