Jersey,Player,Yr,Pos,GP,GS,GS,G,BA,OBPct,SlgPct,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,WOBA
24,"Alverson, Camryn",Fr,SP/RP,33,10,,,0.250,0.400,0.500,4,1,1,1,,2,,,1,,0,,,1,,,,,,,,1,1,0.433
3,"Anderson, Megan",Jr,INF,40,39,,,0.062,0.062,0.125,16,0,1,1,,2,,,,,1,,,5,,,,,,,,5,4,0.083
22,"Bissett, Presley",So,INF,45,45,,,0.176,0.222,0.176,17,2,3,,,3,,,1,,0,,,6,1,,,,,,,2,6,0.207
9,"Caswell, Hailey",Fr,INF,26,10,,,0.500,0.500,0.500,2,0,1,,,1,,,,,0,,,,,,,,,,,,1,0.500
10,"Edgerton, Alexis",Fr,INF,28,21,,,0.000,0.222,0.000,7,0,0,,,0,,,2,,0,,,4,1,,,,,,,2,1,0.148
20,"Harris, Jenna",Sr,OF,9,6,,,0.000,0.000,0.000,2,0,0,,,0,,,,,0,,,,,,,,,,,1,1,0.000
35,"Harris, Lindsay",So,C,46,46,,,0.333,0.444,0.533,15,1,5,1,1,8,,,3,,2,,1,7,1,,,,,,,1,3,0.474
8,"Hyatt, Macy",Fr,C,45,43,,,0.105,0.190,0.105,19,1,2,,,2,,,2,,0,,,4,1,,,,,,,5,8,0.162
23,"Lucas, Kelly",So,2B,17,7,,,0.000,0.000,0.000,2,0,0,,,0,,,,,0,,,1,1,,,,,,,,1,0.000
21,"Lyons, Chelsea",Jr,OF,46,46,,,0.158,0.158,0.158,19,1,3,,,3,,,,,2,,,5,1,,,,1,,,5,6,0.158
25,"Nichols, Cassie",So,INF,9,1,,,0.000,0.000,0.000,1,0,0,,,0,,,,,0,,,1,,,,,,,,,,0.000
33,"Petree, Jonnie",Jr,INF,46,46,,,0.333,0.333,0.333,24,2,8,,,8,,,,,0,,,3,1,,,,5,,,8,4,0.333
2,"Wallace, Grace",Fr,C,28,17,,,0.200,0.200,0.200,5,0,1,,,1,,,,,0,,,1,,,,,,,,1,2,0.200
14,"White, Courtney",So,OF,37,34,,,0.125,0.176,0.188,16,0,2,1,,3,,,,1,0,,1,7,1,,,,,,,4,4,0.180
4,"Wilbanks, Ansley",Jr,OF,43,43,,,0.071,0.133,0.071,14,0,1,,,1,,,1,,2,,3,,,,,,,,,14,1,0.112
