Jersey,Player,Yr,Pos,GP,GS,GS,G,BA,OBPct,SlgPct,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,WOBA
24,"Alverson, Camryn",Fr,SP/RP,33,10,,,0.148,0.258,0.259,27,3,4,,,7,1,,4,,4,,,9,1,,,,,,,7,6,0.258
3,"Anderson, Megan",Jr,INF,40,39,,,0.330,0.367,0.485,103,10,34,10,,50,2,,5,1,18,,1,9,,1,1,,,,,28,31,0.406
22,"Bissett, Presley",So,INF,45,45,,,0.163,0.215,0.209,86,3,14,4,,18,,,5,1,7,1,4,19,3,1,1,,1,,,29,26,0.213
9,"Caswell, Hailey",Fr,INF,26,10,,,0.172,0.226,0.172,29,8,5,,,5,,,2,,3,,,9,1,,,,,,,7,4,0.208
10,"Edgerton, Alexis",Fr,INF,28,21,,,0.158,0.220,0.184,38,3,6,1,,7,,,,3,0,,,10,3,,,,,,,13,7,0.208
20,"Harris, Jenna",Sr,OF,9,6,,,0.000,0.091,0.000,10,1,0,,,0,,,1,,0,,,5,2,1,,,,,,2,2,0.061
35,"Harris, Lindsay",So,C,46,46,,,0.171,0.256,0.276,105,7,18,5,,29,2,,12,,13,,2,30,8,1,,,,,,26,27,0.263
8,"Hyatt, Macy",Fr,C,45,43,,,0.340,0.386,0.406,106,9,36,4,,43,1,,6,2,13,,1,15,4,2,,,,,,22,33,0.393
23,"Lucas, Kelly",So,2B,17,7,,,0.143,0.182,0.143,21,1,3,,,3,,,1,,0,,,3,3,,,,,,,9,5,0.169
21,"Lyons, Chelsea",Jr,OF,46,46,,,0.212,0.261,0.221,104,12,22,1,,23,,,6,1,7,,3,11,5,1,,,4,,,45,24,0.248
25,"Nichols, Cassie",So,INF,9,1,,,0.111,0.200,0.111,9,0,1,,,1,,,1,,0,,,6,2,,,,,,,1,1,0.170
33,"Petree, Jonnie",Jr,INF,46,46,,,0.246,0.287,0.246,122,15,30,,,30,,,7,,3,,5,15,6,,,,11,3,,60,14,0.273
2,"Wallace, Grace",Fr,C,28,17,,,0.120,0.154,0.180,50,2,6,,,9,1,,2,,3,,,16,1,,,,,,,13,14,0.163
14,"White, Courtney",So,OF,37,34,,,0.143,0.176,0.200,70,4,10,1,,14,1,,3,,6,1,3,14,3,1,1,,,,,27,21,0.184
4,"Wilbanks, Ansley",Jr,OF,43,43,,,0.230,0.267,0.250,100,11,23,,1,25,,,5,,4,,4,8,,1,1,,1,,,53,16,0.261
