Jersey,Player,Yr,Pos,GP,GS,GS,PO,A,E,FldPct,CI,PB,SBA,CSB,TC,IDP,ITP
44,"Barrett, Casey",Fr,INF,23,17,17,10,26,5,0.878,,,,,41,2,
6,"Clark, Taylor",So,INF,41,35,35,24,46,6,0.921,,,,,76,1,
7,"Dail, Jordan",Fr,SP,25,14,14,6,14,1,0.952,,,15,11,21,,
22,"Davenport, Breanna",Sr,OF,15,8,8,,,,,,,,,0,,
11,"Davis, Cana",Fr,OF,34,25,25,15,,2,0.882,,,,,17,,
25,"Eberle, Carrie",So,P,44,42,42,1,70,1,0.986,,,22,3,72,,
5,"Hugney, Dani",So,INF,4,0,,3,1,,1.000,,,,,4,1,
19,"Johnson, Kinsey",Jr,OF,31,1,1,,,,,,,,,0,,
12,"Jones, Hannah",So,1B,18,8,8,44,,,1.000,,,,,44,2,
10,"Lattin, Olivia",Jr,INF,53,53,53,108,114,11,0.953,,,,,233,5,
18,"Lawter, Mackenzie",Fr,C,16,9,9,73,8,,1.000,,1,5,6,81,,
27,"Mehr, Jessie",Sr,INF,45,45,45,357,21,8,0.979,,,,,386,10,
24,"Metz, Whitney",Sr,UT,29,1,1,,,,,,,,,0,,
15,"Miller, Sammi",Fr,OF,39,33,33,6,,2,0.750,,,,,8,,
13,"Nolan, Caitlyn",Jr,INF,53,53,53,50,117,6,0.965,,,,,173,5,
3,"Rochard, Keely",Fr,SP,18,11,11,2,7,,1.000,,,6,1,9,,
2,"Schoenewald, Caroline",Sr,OF,53,53,53,46,,2,0.958,,,,,48,,
14,"Strouth, Emma",Jr,OF,53,53,53,54,7,1,0.984,,,,,62,4,
4,"Trull, Darby",Fr,OF,32,14,14,11,,,1.000,,,,,11,,
20,"Walton, Sierra",Jr,C,46,44,44,253,25,3,0.989,,11,38,9,281,2,
17,"Whitcomb, Chelsea",Jr,SP,4,1,1,4,3,,1.000,,,,,7,,
