Jersey,Player,Yr,Pos,GP,GS,GS,G,BA,OBPct,SlgPct,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,WOBA
31,"Addington, Kayleigh",Fr,UT,2,0,,2,0.000,0.333,0.000,2,,0,,,0,,,1,,,,,,,,,,,,,2,,0.222
44,"Barrett, Casey",Fr,INF,23,17,17,23,0.220,0.289,0.293,41,5,9,3,0,12,,,4,,4,,1,7,1,,,,2,3,,10,15,0.29
6,"Clark, Taylor",So,INF,41,35,35,41,0.247,0.354,0.519,81,15,20,5,1,42,5,,13,1,18,1,3,21,9,,,,1,,,21,21,0.409
22,"Davenport, Breanna",Sr,OF,15,8,8,15,0.107,0.219,0.179,28,4,3,2,,5,,,4,,1,,1,2,,,,,,,,11,11,0.206
11,"Davis, Cana",Fr,OF,34,25,25,34,0.230,0.284,0.297,74,6,17,3,1,22,,,4,2,2,1,3,15,4,1,1,,,2,,30,15,0.288
25,"Eberle, Carrie",So,P,44,42,42,44,0.264,0.362,0.518,110,11,29,4,0,57,8,1,16,1,17,,,29,11,1,,,,,,29,22,0.414
5,"Hugney, Dani",So,INF,4,0,,4,1.000,1.000,2.000,2,3,2,2,,4,,,2,,,,,,,,,,,,,,,1.333
19,"Johnson, Kinsey",Jr,OF,31,1,1,31,0.000,0.143,0.000,6,10,0,,0,0,,,1,,,,,1,1,,,,4,1,,2,2,0.095
12,"Jones, Hannah",So,1B,18,8,8,18,0.303,0.351,0.394,33,2,10,3,,13,,,3,,8,1,1,7,2,,,,,,,11,7,0.365
10,"Lattin, Olivia",Jr,INF,53,53,53,53,0.245,0.326,0.445,155,14,38,11,1,69,6,,19,,19,1,4,30,10,3,2,,4,,,26,62,0.366
18,"Lawter, Mackenzie",Fr,C,16,9,9,16,0.125,0.176,0.125,16,1,2,,,2,,,1,,,,1,2,,,,,,,,4,8,0.159
27,"Mehr, Jessie",Sr,INF,45,45,45,45,0.208,0.275,0.350,120,14,25,3,1,42,4,,11,,17,,,27,7,,,,3,1,,29,36,0.3
24,"Metz, Whitney",Sr,UT,29,1,1,29,0.000,0.000,0.000,1,9,0,,0,0,,,,,,,,,,,,,2,,,,1,0.0
15,"Miller, Sammi",Fr,OF,39,33,33,39,0.211,0.275,0.257,109,13,23,2,,28,1,,9,1,7,1,2,15,5,2,1,,5,,,33,38,0.269
13,"Nolan, Caitlyn",Jr,INF,53,53,53,53,0.236,0.312,0.393,140,9,33,7,0,55,5,,15,1,18,1,1,17,3,2,,,,1,,30,59,0.339
2,"Schoenewald, Caroline",Sr,OF,53,53,53,53,0.242,0.321,0.358,165,21,40,11,1,59,2,,18,1,12,,5,21,1,,,,14,2,,52,47,0.333
30,"Stephenson, Molly",Jr,INF,2,0,,2,0.500,0.667,0.500,2,1,1,,,1,,,,1,1,,,,,,,,,,,1,,0.611
14,"Strouth, Emma",Jr,OF,53,53,53,53,0.286,0.372,0.416,154,20,44,5,3,64,3,,20,3,17,3,,13,,4,2,,3,,,49,42,0.387
4,"Trull, Darby",Fr,OF,32,14,14,32,0.233,0.353,0.256,43,8,10,1,0,11,,,8,,2,,,13,5,1,,,1,,,7,11,0.321
20,"Walton, Sierra",Jr,C,46,44,44,46,0.266,0.326,0.339,124,4,33,6,0,42,1,,11,,9,,4,18,2,3,1,,,,,42,34,0.33
17,"Whitcomb, Chelsea",Jr,SP,4,1,1,4,0.200,0.500,0.400,5,2,1,1,,2,,,1,2,,,,,,,,,,,,,3,0.467
