Jersey,Player,Yr,Pos,GP,GS,GS,G,BA,OBPct,SlgPct,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,WOBA
31,"Addington, Kayleigh",Fr,UT,2,0,,,0.000,0.000,0.000,1,0,0,,,0,,,,,0,,,,,,,,,,,1,,0.000
44,"Barrett, Casey",Fr,INF,23,17,,,0.000,0.200,0.000,8,0,0,,,0,,,2,,0,,,3,,,,,,1,,2,3,0.133
6,"Clark, Taylor",So,INF,41,35,,,0.267,0.389,0.733,15,3,4,1,,11,2,,3,,2,,1,4,2,,,,,,,5,3,0.504
22,"Davenport, Breanna",Sr,OF,15,8,,,0.000,0.200,0.000,4,1,0,,,0,,,1,,0,,1,,,,,,,,,2,2,0.133
11,"Davis, Cana",Fr,OF,34,25,,,0.214,0.214,0.286,14,0,3,1,,4,,,,,0,,,2,,,,,,,,4,5,0.238
25,"Eberle, Carrie",So,P,44,42,,,0.300,0.391,0.950,20,5,6,1,,19,4,,3,,6,,,5,1,,,,,,,4,4,0.577
5,"Hugney, Dani",So,INF,4,0,,,1.000,1.000,2.000,2,1,2,2,,4,,,,,0,,,,,,,,,,,,,1.333
19,"Johnson, Kinsey",Jr,OF,31,1,,,0.000,0.000,0.000,4,2,0,,,0,,,,,0,,,,,,,,1,,,2,1,0.000
12,"Jones, Hannah",So,1B,18,8,,,0.500,0.500,0.500,2,0,1,,,1,,,,,1,,,1,1,,,,,,,,,0.500
10,"Lattin, Olivia",Jr,INF,53,53,,,0.133,0.161,0.300,30,2,4,2,,9,1,,1,,2,,1,4,1,,,,1,,,4,18,0.207
18,"Lawter, Mackenzie",Fr,C,16,9,,,0.200,0.200,0.200,5,0,1,,,1,,,,,0,,1,2,,,,,,,,2,1,0.200
27,"Mehr, Jessie",Sr,INF,45,45,,,0.136,0.269,0.273,22,2,3,,,6,1,,4,,2,,,5,1,,,,,,,6,8,0.270
24,"Metz, Whitney",Sr,UT,29,1,,,0.000,0.000,0.000,1,0,0,,,0,,,,,0,,,,,,,,,,,,1,0.000
15,"Miller, Sammi",Fr,OF,39,33,,,0.143,0.217,0.143,21,2,3,,,3,,,2,,0,,1,6,2,,,,,,,4,8,0.192
13,"Nolan, Caitlyn",Jr,INF,53,53,,,0.143,0.172,0.250,28,1,4,,,7,1,,1,,2,,,5,1,,,,,,,9,9,0.198
2,"Schoenewald, Caroline",Sr,OF,53,53,,,0.259,0.310,0.444,27,1,7,3,1,12,,,1,1,2,,1,3,,,,,1,2,,10,6,0.355
30,"Stephenson, Molly",Jr,INF,2,0,,,0.500,0.500,0.500,2,1,1,,,1,,,,,0,,,,,,,,,,,1,,0.500
14,"Strouth, Emma",Jr,OF,53,53,,,0.269,0.424,0.654,26,5,7,,2,17,2,,6,1,5,,,2,,,,,,,,5,12,0.501
4,"Trull, Darby",Fr,OF,32,14,,,0.333,0.333,0.500,6,0,2,1,,3,,,,,1,,,4,3,,,,,,,,,0.389
20,"Walton, Sierra",Jr,C,46,44,,,0.333,0.364,0.524,21,2,7,1,,11,1,,1,,2,,1,3,,,,,,,,6,6,0.417
