Jersey,Player,Yr,Pos,GP,GS,GS,G,BA,OBPct,SlgPct,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,WOBA
31,"Addington, Kayleigh",Fr,UT,2,0,,,0.000,0.000,0.000,1,0,0,,,0,,,,,0,,,,,,,,,,,1,,0.000
44,"Barrett, Casey",Fr,INF,23,17,,,0.417,0.417,0.500,12,0,5,1,,6,,,,,0,,,2,,,,,,,,1,4,0.445
6,"Clark, Taylor",So,INF,41,35,,,0.278,0.435,0.500,18,0,5,1,,9,1,,5,,1,,,4,2,,,,,,,5,4,0.457
22,"Davenport, Breanna",Sr,OF,15,8,,,0.000,0.000,0.000,5,0,0,,,0,,,,,0,,,,,,,,,,,1,3,0.000
11,"Davis, Cana",Fr,OF,34,25,,,0.294,0.368,0.529,17,0,5,2,1,9,,,2,,0,,,5,1,,,,,,,6,1,0.422
25,"Eberle, Carrie",So,P,44,42,,,0.455,0.538,0.864,22,0,10,,,19,3,,4,,3,,,4,2,,,,,,,5,3,0.647
12,"Jones, Hannah",So,1B,18,8,,,0.000,0.143,0.000,6,0,0,,,0,,,1,,0,,,1,,,,,,,,4,,0.095
10,"Lattin, Olivia",Jr,INF,53,53,,,0.229,0.289,0.543,35,0,8,2,,19,3,,3,,3,,,7,2,,,,,,,4,16,0.374
27,"Mehr, Jessie",Sr,INF,45,45,,,0.125,0.160,0.167,24,0,3,1,,4,,,1,,0,,,5,,,,,,,,5,11,0.162
24,"Metz, Whitney",Sr,UT,29,1,,,0.000,0.000,0.000,1,0,0,,,0,,,,,0,,,,,,,,,,,,1,0.000
15,"Miller, Sammi",Fr,OF,39,33,,,0.278,0.316,0.417,36,0,10,2,,15,1,,1,1,1,,,6,,,,,,,,5,14,0.350
13,"Nolan, Caitlyn",Jr,INF,53,53,,,0.226,0.314,0.516,31,0,7,3,,16,2,,4,,2,,,2,1,,,,,,,7,14,0.381
2,"Schoenewald, Caroline",Sr,OF,53,53,,,0.191,0.296,0.298,47,0,9,2,,14,1,,7,,1,,,4,,,,,,,,14,17,0.297
14,"Strouth, Emma",Jr,OF,53,53,,,0.226,0.273,0.419,31,0,7,1,1,13,1,,2,,1,,,4,,,,,,,,10,8,0.322
4,"Trull, Darby",Fr,OF,32,14,,,0.214,0.267,0.214,14,0,3,,,3,,,1,,0,,,5,2,,,,,,,2,3,0.249
20,"Walton, Sierra",Jr,C,46,44,,,0.308,0.333,0.308,26,0,8,,,8,,,1,,0,,,4,1,,,,,,,8,6,0.325
